"total distance of drones";"distance per drone";"tick"
6212.194696086416;776.524337010802;721.0
6213.876377923222;776.7345472404028;723.0
6215.985669908458;776.9982087385572;725.0
6218.522470694003;777.3153088367503;727.0
6221.441299835092;777.6801624793865;729.0
6224.680892370687;778.0851115463358;731.0
6228.1790860241845;778.5223857530231;733.0
6231.880160984913;778.9850201231142;735.0
6235.737727347446;779.4672159184307;737.0
6239.715044507099;779.9643805633874;739.0
6243.12619605177;780.3907745064713;741.0
6246.790687212344;780.848835901543;743.0
6249.974052910618;781.2467566138273;745.0
6253.114181887076;781.6392727358844;747.0
6256.271616107598;782.0339520134497;749.0
6259.075729516495;782.3844661895619;751.0
6261.606158040924;782.7007697551155;753.0
6263.921113846387;782.9901392307984;755.0
6266.066273832073;783.2582842290092;757.0
6268.079167747571;783.5098959684464;759.0
6269.987781199434;783.7484726499292;761.0
6271.798259771143;783.9747824713929;763.0
6273.6839467308155;784.2104933413519;765.0
6275.420439078093;784.4275548847617;767.0
6277.10545282971;784.6381816037137;769.0
6278.616754097789;784.8270942622237;771.0
6279.837129743219;784.9796412179023;773.0
6280.744449413073;785.0930561766341;775.0
6281.5510671366665;785.1938833920833;777.0
6282.691346076859;785.3364182596074;779.0
6284.020458937733;785.5025573672166;781.0
6285.3822190865585;785.6727773858198;783.0
6286.902730451826;785.8628413064782;785.0
6288.979798466387;786.1224748082984;787.0
6291.539434088345;786.4424292610431;789.0
6294.497111654798;786.8121389568497;791.0
6297.770544584229;787.2213180730287;793.0
6301.28695623768;787.66086952971;795.0
6304.986136212496;788.123267026562;797.0
6308.820613652144;788.602576706518;799.0
6312.754251229662;789.0942814037078;801.0
6316.760235030307;789.5950293787884;803.0
6320.9706165520765;790.1213270690096;805.0
6324.614294593345;790.5767868241682;807.0
6329.070825873992;791.133853234249;809.0
6333.682851647779;791.7103564559724;811.0
6338.814912827229;792.3518641034036;813.0
6344.442152704071;793.0552690880089;815.0
6350.123375672224;793.765421959028;817.0
6355.846947585695;794.4808684482118;819.0
6362.008526266519;795.2510657833149;821.0
6368.472287410907;796.0590359263633;823.0
6375.001420200246;796.8751775250307;825.0
6381.850388523685;797.7312985654606;827.0
6389.279067389103;798.6598834236379;829.0
6397.884330632899;799.7355413291124;831.0
6406.2380042220975;800.7797505277622;833.0
6415.1812626093015;801.8976578261627;835.0
