"Current Speed of Drones";"tick"
1.6686531484622202;789.0
1.904112394043269;791.0
2.0892013961047726;793.0
2.2306347732295224;795.0
2.336477624751986;797.0
2.414561391108719;799.0
2.471680067167776;801.0
2.5133332323824966;803.0
2.7332426798121947;805.0
2.374947695019082;807.0
2.91834646603319;809.0
3.030358291844868;811.0
3.1127233401818275;813.0
3.642358951561917;815.0
3.6754955426480955;817.0
3.6984392173998577;819.0
3.7876123006670452;821.0
3.953017541894626;823.0
3.8314411788938973;825.0
4.271507813096568;827.0
4.587166958487161;829.0
5.365201688847691;831.0
5.475741125021958;833.0
5.594903877872623;835.0
5.702442275361002;837.0
5.924213995295094;839.0
5.857900396277087;841.0
5.863202669676291;843.0
6.235039363407444;845.0
6.634364008473755;847.0
6.990585719019776;849.0
7.291472859655861;851.0
7.188384731186233;853.0
7.50788395222135;855.0
6.876965872842433;857.0
7.315576961450211;859.0
7.4055631533576385;861.0
7.169386256642226;863.0
8.259393002758053;865.0
8.464361683309903;867.0
9.098554037299193;869.0
9.267871433717296;871.0
9.401845946808303;873.0
9.109164349412625;875.0
9.216493794912486;877.0
8.918953985733912;879.0
8.992835387712987;881.0
8.640926698225314;883.0
8.272001605462185;885.0
8.142843241866272;887.0
7.83198128825611;889.0
7.709817768932417;891.0
7.820649642302161;893.0
7.834878978751627;895.0
8.006235930962681;897.0
8.265449399240893;899.0
7.910904645481853;901.0
7.562584052262734;903.0
8.013684835870814;905.0
7.78717288976107;907.0
7.797172953132712;909.0
7.660479207364743;911.0
8.05268750292694;913.0
8.545490896328692;915.0
9.011477313018432;917.0
9.409866614846521;919.0
9.72635006872267;921.0
9.959146036703165;923.0
10.110781189370147;925.0
10.210616967698718;927.0
9.861161280655663;929.0
9.550486866827072;931.0
8.639544040381166;933.0
8.448070660085211;935.0
7.629502276899252;937.0
7.769830327403728;939.0
7.7002916778923645;941.0
7.289264254164483;943.0
7.007833521564477;945.0
7.61168065506452;947.0
7.3930713532320675;949.0
7.228430965073039;951.0
6.902631715756869;953.0
6.478016684685376;955.0
6.431834999707765;957.0
6.242911657722483;959.0
5.922008091590506;961.0
5.182620964916768;963.0
5.5454197151717874;965.0
4.943469759568963;967.0
